Scanner,Session,Copyright,family,Species,Genus,number,Collection,length,photo,scan lot,symbol,group filename,scan date,Month,Year,kV,uA,Filter,Detector,rotation,Voxel size,slices length,Scan Quality,isolated,fish only ,STL,who uploaded,when uploaded,spec. image,Comments,User1,User2,User3,Backup Drive ,oVert Tag#
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus guineensis,Barbus,59521,AUM,,,,A,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus guineensis,Barbus,59521,AUM,,,,B,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus guineensis,Barbus,59521,AUM,,,,C,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus foutensis,Barbus,59538,AUM,,,,D,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Agonidae,Agonopsis vulsa,Agonopsis,UNCAT,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Embiotoca lateralis,Embiotoca,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Embiotoca lateralis,Embiotoca,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Embiotoca lateralis,Embiotoca,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Embiotoca lateralis,Embiotoca,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Embiotoca lateralis,Embiotoca,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Damalichthyes vacca,Damalichthyes,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Damalichthyes vacca,Damalichthyes,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Damalichthyes vacca,Damalichthyes,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Damalichthyes vacca,Damalichthyes,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Damalichthyes vacca,Damalichthyes,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Damalichthyes vacca,Damalichthyes,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Damalichthyes vacca,Damalichthyes,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Cymatogaster aggregata,Cymatogaster,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Cymatogaster aggregata,Cymatogaster,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Cymatogaster aggregata,Cymatogaster,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Cymatogaster aggregata,Cymatogaster,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Cymatogaster aggregata,Cymatogaster,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Cymatogaster aggregata,Cymatogaster,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Cymatogaster aggregata,Cymatogaster,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Cymatogaster aggregata,Cymatogaster,,,,,,,Embiotocidae,8/10/16,8,2016,60,110,1mm Al,1K,,94.2,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus sp.,Barbus,28037,ROM,,,,S,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus trimaculatus,Barbus,54505,ROM,,,,T,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus sublineatus,Barbus,59598,AUM,,,,V,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus eburneensis,Barbus,59673,AUM,,,,W,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus apleurogramma,Barbus,54498,AUM,,,,X,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,"Barbus sp. ""spots in stripe""",Barbus,51247,AUM,,,,Y,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,"Barbus sp. ""spots in stripe""",Barbus,51247,AUM,,,,Z,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,"Barbus sp. ""spots in stripe""",Barbus,51247,AUM,,,,A,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus multilineatus,Barbus,28055,ROM,,,,B,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus kerstenii,Barbus,57551,AUM,,,,C,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Clypeobarbus congicus,Clypeobarbus,51271,AUM,,,,E,BarbusBatch3rerun,8/13/16,8,2016,60,110,1mm Al,1K,,45,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus cf. holotaenia,Barbus,51641,AUM,,,,G,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus aspilus,Barbus,58100,AUM,,,,H,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Labeobarbus wurtzi,Labeobarbus,59702,AUM,,,,I,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Labeobarbus petitjeani,Labeobarbus,59562,AUM,,,,J,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,7/31/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus aspilus,Barbus,58062,AUM,,,,K,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus cf. holotaenia,Barbus,51639,AUM,,,,N,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus neumayeri,Barbus,57546,AUM,,,,O,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus poechii,Barbus,31799,ROM,,,,P,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus martorelli,Barbus,58181,AUM,,,,S,BarbusBatch4,8/13/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Monacanthidae,Alutera scripta,Alutera,48217,UW,,,,N,Mass_Trigger_2,8/16/16,8,2016,,,,,,,,,,,,A. von Hagel,7/5/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Balistidae,Balistes polylepis,Balistes,14876,UW,,,,S,Mass_Trigger_2,8/16/16,8,2016,,,,,,,,,,,,A. von Hagel,7/5/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Balistidae,Balistes rotundatus,Balistes,11999,UW,,,,G,Mass_Trigger_2,8/16/16,8,2016,,,,,,,,,,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Monacanthidae,Cantherhines sandwichiensis,Cantherhines,48152,UW,,,,T,Mass_Trigger_2,8/16/16,8,2016,,,,,,,,,,,,A. von Hagel,7/5/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Balistidae,Melichthys niger,Melichthys,48380,UW,,,,U,Mass_Trigger_2,8/16/16,8,2016,,,,,,,,,,,,A. von Hagel,7/5/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Balistidae,Odonus niger,Odonus,10542,UW,,,,B,Mass_Trigger_2,8/16/16,8,2016,,,,,,,,,,,,A. von Hagel,7/5/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Labeobarbus sacratus,Labeobarbus,59675,AUM,,,,T,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus martorelli,Barbus,58113,AUM,,,,V,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus ablabes,Barbus,59696,AUM,,,,W,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus neefi,Barbus,31796,ROM,,,,X,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Labeobarbus caudovittatus,Labeobarbus,51269,AUM,,,,Y,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus atromaculatus,Barbus,51244,AUM,,,,Z,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus cf. punctitaeniatus,Barbus,58111,AUM,,,,A,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,"Barbus sp. ""spots in stripe""",Barbus,51248,AUM,,,,B,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Clypeobarbus pleuropholis,Clypeobarbus,51239,AUM,,,,C,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus aspilus,Barbus,58151,AUM,,,,D,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus lineomaculatus,Barbus,31483,ROM,,,,E,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus punctitaeniatus,Barbus,59756,AUM,,,,J,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus trispilos,Barbus,59597,AUM,,,,K,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus brevidorsalis,Barbus,28041,ROM,,,,L,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus kerstenii,Barbus,57536,AUM,,,,N,BarbusBatch5,8/17/16,8,2016,60,110,1mm Al,1K,,42.8,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Monacanthidae,Cantherhines pardalis,Cantherhines,48381,UW,,,,V,Mass_Trigger_3,8/17/16,8,2016,,,,,,,,,,,,A. von Hagel,7/6/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Balistidae,Odonus niger,Odonus,10542,UW,,,,T,Mass_Trigger_3,8/17/16,8,2016,,,,,,,,,,,,A. von Hagel,7/6/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Monacanthidae,Rhinecanthus aculeatus,Rhinecanthus,115446,UW,,,,C,Mass_Trigger_3,8/17/16,8,2016,,,,,,,,,,,,A. von Hagel,7/6/2017,,,,,,,
Bruker Skyscan 1173,YordanoJimenez,,Monacanthidae,Stephanolepis diaspros,Stephanolepis,21130,UW,,,,B,Mass_Trigger_3,8/17/16,8,2016,,,,,,,,,,,,A. von Hagel,7/6/2017,,,,,,,
Bruker Skyscan 1173,Janne1,,Trichomycteridae,Typhlobelus guacamaya,Typhlobelus,190502,ANSP,,,,N,Paravandelia,8/17/16,8,2016,60,110,1mm Al,1K,0.15,25,,,,,,,,,,,,,,
Bruker Skyscan 1173,Janne1,,Trichomycteridae,Paravandellia (borealis MS),Paravandellia,180017,ANSP,,,,S,Paravandelia,8/17/16,8,2016,60,110,1mm Al,1K,0.15,25,,,,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Batrachoididae,Porichthys notatus,Porichthys,-,-,,,,C,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Zoarcidae,Lycodes pacificus ,Lycodes,-,-,,,,G,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Hyperprosopon anale,Hyperprosopon,-,-,,,,I,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Labeobarbus sacratus,Labeobarbus,59785,AUM,,,,J,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,6/28/2018,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus guirali,Barbus,58061,AUM,,,,K,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,6/28/2018,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus guirali,Barbus,58061,AUM,,,,O,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,6/28/2018,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus guineensis,Barbus,59507,AUM,,,,P,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus paludinosus,Barbus,31991,ROM,,,,R,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus eutaenia,Barbus,28057,ROM,,,,S,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus macrops,Barbus,59579,AUM,,,,H,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus macrops,Barbus,59579,AUM,,,,triangle,BarbusBatch6,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Rhinopteridae,Rhinoptera bonasus,Rhinoptera,-,-,,,,P,BarbusBatch7,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Myliobatidae,Myliobatis california,Myliobatis,-,-,,,,C,BarbusBatch7,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Surf Perch1,Surf,-,-,,,,S,BarbusBatch7,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Embiotocidae,Surf Perch1,Surf,-,-,,,,N,BarbusBatch7,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus schwanefeldii,Barbus,24667,AUM,,,,L,BarbusBatch7,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus neumayeri,Barbus,56108,AUM,,,,A,BarbusBatch7,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus radiatus,Barbus,28056,ROM,,,,B,BarbusBatch7,8/18/16,8,2016,60,110,1mm Al,1K,,71.4,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus guildi,Barbus,59624,AUM,,,,C,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus viviparus,Barbus,63561,AUM,,,,D,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus raimbaulti,Barbus,59563,AUM,,,,E,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus cf. punctitaeniatus,Barbus,59769,AUM,,,,J,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus sp.,Barbus,59798,AUM,,,,K,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus macrotaenia,Barbus,54512,ROM,,,,L,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,"Nose cut off, rerun recon",,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus sublineatus,Barbus,59717,AUM,,,,N,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Labeobarbus sacratus,Labeobarbus,59675,AUM,,,,T,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Clypeobarbus pleuropholis,Clypeobarbus,51250,AUM,,,,V,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus nikoloensis,Barbus,59565,AUM,,,,W,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,A. von Hagel,8/7/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus apleurogramma,Barbus,54503,AUM,,,,X,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus ablabes,Barbus,59679,AUM,,,,Y,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus atromaculatus,Barbus,51246,AUM,,,,Z,BarbusBatch8,8/18/16,8,2016,60,133,1mm Al,2K,,22.1,,,Y,,,Jonathan Huie,8/15/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus sublineatus,Barbus,59717,AUM,,,,A,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus sp,Barbus,18294,AUM,,,,B,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus trispilos,Barbus,59626,AUM,,,,C,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus asper,Barbus,38287,ROM,,,,D,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus tiekoroi,Barbus,59687,AUM,,,,E,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/1/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus ablabes,Barbus,19231,AUM,,,,G,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus sp,Barbus,32176,AUM,,,,H,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus lineomaculatus,Barbus,32031,ROM,,,,I,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,,,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus ablabes,Barbus,59647,AUM,,,,J,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus trispilos,Barbus,70755,ROM,,,,K,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus pallidinosus,Barbus,26540,ROM,,,,L,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
Bruker Skyscan 1173,MalorieHayes,,Cyprinidae,Barbus sp aff punctitiaeniatus,Barbus,58063,AUM,,,,N,BarbusBatch9,8/19/16,8,2016,60,110,1mm Al,1K,,60,,,Y,,,Alifaire Noreen,8/29/2017,,,,,,,
