USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:151710","Circus hudsonius","428.085504","United States","Nevada","W side Ruby Lake, 6 mi N Elko County line","10 Aug 1927","40.21","-115.5"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:151713","Circus hudsonius","402.336","United States","New York","Jones Beach on Suffolk County line, Long Island","18 Sep 1925","40.6095","-73.4241"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:24479","Elanus leucurus majusculus","7737.725952","United States","California","8 mi S Santa Rosa","25 Dec 1913","38.3336123","-122.7117543"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:23447","Accipiter striatus ssp.","4828.032","United States","California","Rincon Valley","4 Feb 1913","38.463834","-122.6638243"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:80786","Aquila chrysaetos canadensis","1000","United States","California","Bean Spring, 1 mi W Willow Springs","30 Dec 1932","34.87","-118.29"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:52094","Buteo jamaicensis calurus","","Mexico","Baja California","Alamo River, 20 mi SW Pilot Knob","27 Jan 1928","32.6275","-115.1486111"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:65062","Geranoaetus albicaudatus albicaudatus","4533","Brazil","Minas Gerais","Agricultural College, Vicosa","3 Jun 1930","-20.75","-42.88333"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:70434","Accipiter cooperii","1000","United States","California","Redlands","8 Dec 1928","34.056","-117.182"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:72441","Accipiter nisus nisus","","Finland","","Fennia","1933","",""
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:94154","Accipiter striatus velox","1609.344","United States","California","Piñon Well, 16.25 mi S, 2.5 mi W 29 Palms","9 Oct 1945","33.8997592","-116.093385"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99762","Buteo jamaicensis calurus","3973.470336","Canada","British Columbia","Okanagan Landing","17 Sep 1921","50.2333","-119.35"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144674","Buteo jamaicensis calurus","416.820096","United States","Arizona","Tanque Verde","22 Jan 1925","32.2517","-110.7367"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:40531","Accipiter cooperii","1207.008","United States","California","Furnace Creek Ranch, Death Valley, Death Valley National Park","19 Apr 1920","36.463047","-116.877552"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:24991","Accipiter striatus velox","289.68192","United States","California","0.75 mi S Palo Verde","10 Dec 1914","33.4181","-114.7301"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:157038","Rupornis magnirostris griseocauda","5344","Costa Rica","Guanacaste","Finca Jimenez","12 Aug 1967","10.41667","-85.2"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:140784","Accipiter nisus nisosimilis","12364","Korea","Kyonggi Province","South Gate Market, Seoul","20 Dec 1958","37.5667","127"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99686","Accipiter cooperii","3658.038912","Canada","British Columbia","Comox, Vancouver Island","29 Jan 1937","49.6833","-124.9333"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99664","Accipiter cooperii","56932.153344","Canada","British Columbia","Okanagan","12 Sep 1934","49.4167","-120"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:41743","Accipiter fasciatus ssp.","","","","no specific locality","not recorded","",""
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:46719","Accipiter rufitorques","22252","Fiji","Northern Province","Taveuni","24 Nov 1923","-16.8540688","179.9692158"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:63176","Accipiter striatus velox","6025.383936","Canada","British Columbia","Indianpoint Lake, near Barkerville","26 Apr 1929","53.2667","-121.2667"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:142597","Haliaeetus albicilla","68409.994752","Korea","North Kyongsang Province","ca. 100 mi SE Seoul","29 Jan 1961","36.54139","128.28808"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:155826","Buteo buteo japonicus","22340","Korea","Kangwon Province","Pangkyo-Ri, Sachon-Myon, Myongju-Gun","14 Mar 1965","37.75","128.75"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:51285","Elanoides forficatus forficatus","32214.238848","United States","Florida","no specific locality recorded","30 Mar 1924","28.0796","-80.742"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:17057","Buteo jamaicensis calurus","294","United States","California","Independence Lake","11 Aug 1910","39.430061","-120.32875"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:27089","Buteo jamaicensis calurus","804.672","United States","California","Blackstone Creek, 11 mi E Coulterville","29 Oct","37.754548","-120.093092"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:148621","Circus melanoleucos","14276.490624","Korea","Kyonggi Province","ca. 2 mi SE Seoul","25 May 1962","37.54649","127.02576"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:6929","Accipiter cooperii","1609.344","United States","California","Ozena","27 Jun 1906","34.6929006","-119.3307742"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:27854","Accipiter cooperii","1207.008","United States","California","Furnace Creek Ranch, Death Valley, Death Valley National Park","10 Apr 1917","36.463047","-116.877552"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:45547","Circus hudsonius","11938.113792","United States","California","8 mi N Colusa","13 Dec 1924","39.3208296","-122.0157182"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:56360","Circus hudsonius","3218.688","United States","California","Byron District, Stockton Marsh","2 Dec 1907","37.963736","-121.28883"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:22392","Circus hudsonius","804.672","United States","California","Los Baños","18 Dec 1911","37.060514","-120.84778"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144737","Circus hudsonius","30","United States","California","10 mi S Bishop","27 Dec 1925","37.225548","-118.34069"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:139246","Accipiter nisus nisosimilis","12364","Korea","Kyonggi Province","purchased dead in South Gate Market, Seoul","7 Dec 1958","37.5667","127"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:139248","Accipiter nisus nisosimilis","12364","Korea","Kyonggi Province","purchased in South Gate Market, Seoul","20 Dec 1958","37.5667","127"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:1147","Accipiter striatus velox","12136.063104","United States","Alaska","head of Port Nell Juan, Prince William Sound","19 Aug 1908","60.5530555556","-148.2375"
