"COUNTOFCATALOGEDITEM","LINKTOSPECIMENS","PHYLORDER"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Myxiniformes","Myxiniformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Notoryctemorphia","Notoryctemorphia"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Osteolepiformes","Osteolepiformes"
"3","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Osteostraci","Osteostraci"
"143561","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Passeriformes","Passeriformes"
"11","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Passeriformes%2C%20Cuculiformes","Passeriformes, Cuculiformes"
"3","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Passeriformes%2C%20Galliformes","Passeriformes, Galliformes"
"81","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Paucituberculata","Paucituberculata"
"1569","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Pelecaniformes","Pelecaniformes"
"114","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Peramelemorphia","Peramelemorphia"
"12","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Perciformes","Perciformes"
"66","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Perissodactyla","Perissodactyla"
"5","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Petromyzontiformes","Petromyzontiformes"
"52","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Phaethontiformes","Phaethontiformes"
"35","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Phoenicopteriformes","Phoenicopteriformes"
"8","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Pholidota","Pholidota"
"8373","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Piciformes","Piciformes"
"106","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Pilosa","Pilosa"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Pleuronectiformes","Pleuronectiformes"
"747","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Podicipediformes","Podicipediformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Polypteriformes","Polypteriformes"
"478","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Primates","Primates"
"12","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Proboscidea","Proboscidea"
"1361","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Procellariiformes","Procellariiformes"
"936","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Psittaciformes","Psittaciformes"
